Text,Label
"The trend towards ubiquitous public services is driving the deployment of large-scale, heterogeneous, distributed information services. In order to support automated information access and processing, this information is marked up using semantic metadata models represented using ontology languages such as OWL. The use of such a semantic metadata model is twofold: to enable content-based access and to provide services that enable users and applications to select, employ, compose and monitor web-based resources automatically. Deployment of a semantic model consists of the semantic metadata model itself and the semantic services to leverage the semantic metadata within application services. The main objective of this paper is to show how an existing semantic-based security management of open services framework has been extended to improve the safety of services using a semantic error management model. It has been applied to an application that queries multiple distributed environmental database resources.",1
"Descriptions of disciplinary practices can suggest visions of authentic classroom activities. Designing activities that are effective, however, requires an additional framework for identifying a discipline's generative resources–that is, those learning targets that enable students to make disciplinary sense and progress in subsequent situations. This study represents an empirical exploration of the generative resources supported by alternative descriptions of experimentation, 1 focusing on its logical aspects and another on its measurement aspects. Each description of experimentation was portrayed in 1 of 2 concurrent 6th-grade units. In a broad capture of learning outcomes, assessment data suggest particular dimensions of learning–characterized here as game, pieces, and players–account for students' subsequent generative behavior. Striking differences in disciplinary facility were apparent from what students learned from these contrasting units, highlighting the instructional importance of supporting gen...",1
"We propose an ontological theory that is powerful enough to describe both complex spatio-temporal processes and the enduring entities that participate therein. For this purpose we introduce the notion of a directly depicting ontology.Directly depicting ontologies are based on relatively simple languages and fall into two major categories: ontologies of type SPAN and ontologies of type SNAP. These represent two complementary perspectives on reality and employ distinct though compatible systems of categories. A SNAP (snapshot) ontology comprehends enduring entities such as organisms, geographic features, or qualities as they exist at some given moment of time. A SPAN ontology comprehends perduring entities such as processes and their parts and aggregates as they unfold themselves through some temporal interval. We give an axiomatic account of the theory of directly depicting ontologies and of the core parts of the meta-ontological fragment within which they are embedded.",1
"An increase in diversity of devices that access the Internet, each with its own specifications, has generated the need for adapted presentations for each specific platform. However, to dynamically adapt these presentations, information from three parties needs to be matched: a description of the target platform’s capabilities and preferences, the structure of the presentation and the media items it contains, and a survey of the available adaptation processes. We propose in this paper a solution that applies semantic annotation to describe these three parties. We use OWL-S to describe and chain the adaptation processes and CC/PP for communicating the capabilities of the target platforms. This semantical annotation is based on a single ontology in OWL that specifies the concepts of the media adaptation domain. The domain ontology also serves as a basis for specifying adaptation strategies by defining a set of rules and constraints on the concepts involved.",1
"XPath becomes the basic mechanism for XML query. The non-deterministic operators in XPath, such as '//' denoting ancestor-descendant relationship and '*' denoting wildcards in XPath, greatly enhance the flexibility of XPath, but at the same time, introduce the complexity in XPath evaluation. How to explore DTD to reduce non-deterministic operators in XPath in order to improve the efficiency of XPath processing becomes a fundamental problem. The existing work focus on the limited fragment of XPath or DTD. This paper employs tree automata to express XPath and DTD in a unified framework, proposes a novel production operation on tree automata for XPath and tree automata for DTD, proves that the result of production equals to the optimized form of XPath in the presence of DTD, and generates the optimized XPath in a polynomial time based on the generation cost. The experimental result demonstrate that logical optimization on XPath can lead to the increase of efficiency on the existing XPath evaluator.",0
"Personalized access and content syndication involving diverse conceptual representations of information resources are two of the key challenges of Semantic Web (SW) applications. In this paper, we investigate how these goals can be achieved using view definition primitives over RDF/S bases. We introduce a full-fledged view definition language, RVL, for creating virtual RDF/S resource descriptions and schemas from (meta)classes, properties, and resource descriptions, and we illustrate how RVL views can be composed with structured RDF/S queries expressed in a query language like RQL, by means of an internal logical framework capturing the semantics of the RDF/S model, RQL queries and RVL views.",0
"A method of brokering network services by identifying a service which is complementary to a first service, the first service having an associated first service description comprising first service identification information identifying the service offered and first interface type information, the first interface type information comprising at least one of an input format accepted by the first service and an output format generated by the first service, the method comprising the steps of; identifying a second service having an associated second service description comprising second service identification information identifying the service offered and second interface type information which is complementary to the first interface type information, and modifying the first service description in accordance with the second service description.",1
"We discuss a vision of the semantic Web for learning resources and some problems found. We consider RDF as the first step to the semantic Web. But using all the possibilities of RDF is not that simple. Constructing an RDF schema for a given metadata schema, translating RDF descriptions and querying a set of descriptions are the main problems we discuss here. The example of the LOM (learning object metadata), the IEEE standard for education, is used. But even if some problems are not solved, it is important to use RDF now in a simple way to find more easily resources.",0
"Current Web services standards enable publishing service descriptions and finding services by matching requested and published descriptions based on syntactic criteria such as method signatures or service category. Emerging approaches such as DAML-S use DAML to formalize richer models for expressing capabilities of services. DAML-S would go beyond WSDL in terms of the richness of service descriptions. However, neither current Web services standards nor DAML-S provide a basis for selecting a good service or for comparing services that implement the same interface. In our view, service selection is the key problem to enable applicationto-application integration, which is the essential vision behind Web services. Existing approaches don’t address service selection, because service selection inherently involves trust and must consider criteria that are external to any published description of a service, whether in WSDL or DAML-S. Accordingly, this paper develops an ontology in which ratings of services (aggregated into reputations) can be organized and shared so as to facilitate service selection. This model is expressed in DAML and includes domainindependent as well as domain-specific attributes.",1
"Practical description logic systems play an evergrowing role for knowledge representation and reasoning research even in distributed environments. In particular, the often-discussed semantic web initiative is based on description logics (DLs) and defines important challenges for current system implementations. Recently, several standards for representation languages have been proposed (RDF, OWL). By introducing optimization techniques for inference algorithms we demonstrate that sound and complete query engines for semantic web representation languages can be built for practically significant query classes. The paper introduces and evaluates optimization techniques for the instance retrieval problem w.r.t. the description logic SHIQ(Dn)-, which covers large parts of OWL. The paper discusses practical experiments with the description logic system RACER.",1
"In the area of Web services and service-oriented architec- tures, business protocols are rapidly gaining importance and mindshare as a necessary part of Web service descriptions. Their immediate benefit is that they provide developers with information on how to write clients that can correctly interact with a given service or with a set of services. In addition, once protocols become an accepted practice and service descrip- tions become endowed with protocol information, the middleware can be significantly extended to better support service development, binding, and execution in a number of ways, considerably simplifying the whole service life-cycle. This paper discusses the different ways in which the middleware can leverage protocol descriptions, and focuses in particular on the notions of protocol compatibility, equivalence, and replace-ability. They characterise whether two services can interact based on their pro- tocol definition, whether a service can replace another in general or when interacting with specific clients, and which are the set of possible inter- actions among two services.",0
"We present a system for the creation and publication of virtual documents. Particularly, the underlying model takes care of e-learning requirements like adaptation and flexibility. People should be able to write and read easily virtual documents in the form of generated Web pages, in which link inference will help them to discover the environment of their subject and to establish relations between concepts. Beside informational fragments, the underlying model is composed of a domain ontology where concepts and their relations can be stored explicitly while the interface specification allows implicit link generation. For several years, experiences with students in the collaborative development of virtual hyperbooks about the course topics helped us to refine our hyperbook model. In this paper, we introduce adaptive mechanisms based on the notion of points of view.",1
"The Semantic Web vision offers the potential to express queries in a more semantic way. However, the unstructured nature of existing web documents, which lack semantics, proves to be a difficult task for such a query. To support this, the semantic information content of web documents needs to be specified in order to make the tangled information more structured and accessible. In this paper, we propose an approach meant to semantically query web documents using a natural language analysis technique and a domain specific ontology. Using both techniques, the tool gradually constructs the semantic document model of the documents retrieved from an existing search engine for each search session, which is represented as XML. The semantic model can then be semantically refined and browsed by the user.",1
"This paper studies the complexity of evaluating functional query languages for complex values such as monad algebra and the recursion-free fragment of XQuery.We show that monad algebra with equality restricted to atomic values is complete for the class  TA [2  o(n)  ,  O(n) ] of problems solvable in linear exponential time with a linear number of alternations. The monotone fragment of monad algebra with atomic value equality but without negation is complete for nondeterministic exponential time. For monad algebra with deep equality, we establish  TA [2  o(n)  ,  O(n) ] lower and exponential-space upper bounds.Then we study a fragment of XQuery, Core XQuery, that seems to incorporate all the features of a query language on complex values that are traditionally deemed essential. A close connection between monad algebra on lists and Core XQuery (with ""child"" as the only axis) is exhibited, and it is shown that these languages are expressively equivalent up to representation issues. We show that Core XQuery is just as hard as monad algebra w.r.t. combined complexity, and that it is in TC 0  if the query is assumed fixed.",1
"The existing publish/subscribe systems can't match events with subscriptions based on the semantic of events, and they cannot support events with complex structure (such as graph structure). The Semantic Web technologies are introduced into the publish/subscribe system and an ontology-based publish/subscribe system is proposed. In this system, the concept model of events is represented as ontologies, the events are represented as RDF graphs, and the subscriptions are represented as graph patterns. The system can overcome the disadvantages of the existing publish/subscribe systems. Experimental results show that it has high matching efficiency.",0
"Peer-to-peer networks and grids offer promising paradigms for developing efficient distributed systems and applications. Event-based middleware is becoming a core architectural element in such systems, providing asynchronous and multipoint communication. There is a diversity of large scale network environments, and events flow from tiny sensor networks to Internet-scale peer-to-peer (P2P) systems. Event broker grids need to communicate over wired P2P networks, wireless mobile ad hoc networks and even Web Services. Thus,a good architecture of an event data model and subscription model with integrated semantics is important. In this paper, We propose an ontology-based event model for such systems and events are defined in RDF. The system includes an event correlation service for composite event detection and propagation.",1
"XML, Web services, and the Semantic Web have opened the door for new and exciting information integration applications. Information sources on the web are controlled by different organizations or people, utilize dierent text formats, and have varying inconsistencies. Therefore, any system that integrates information from dierent data sources must",0
"CiteSeer is currently a very large source of meta-data information on the World Wide Web (WWW). This meta-data is the key material for the Semantic Web. Still, CiteSeer is not yet a Semantic-enabled service and therefore its meta-data, although potentially usable by Semantic Web agents, is not yet reachable using the Semantic Web mechanisms. The complexity of CiteSeer, that is the range of tasks it supports, make the transition to a Semantic-enabled service a non-trivial task. While human users tend to perceive CiteSeer as a single well-integrated service, we believe it is best seen - from a machine perspective - as a collection of services, each service performing a specific task. In this paper we show our approach to enable CiteSeer on the Semantic Web in order to allow the use of its meta-data through the Semantic Web. We first introduce an intuitive Application Programming Interface (API) to the CiteSeer software, then show that an efficient integration of CiteSeer in the Semantic Web can be best achieved by independently integrating the services that comprise it. We believe the effort presented here towards the Semantic-integration of a complex Information Retrieval system could be used as an integration model for arbitrary systems.",1
"The future success of Grid-enabled e-Science depends on the availability of semantic/knowledge-rich resources on the Grid, i.e., the so-called semantic Grid. This requires not only novel knowledge modelling and representation formalisms but also a shift of knowledge acquisition and population from a limited number of specialised knowledge engineers to resource providers. To this end we have developed a lightweight ontology-enabled tool, ""Function Annotator"", to support resource providers in capturing and publishing resource semantics and knowledge. Function Annotator takes a different line to most knowledge acquisition tools in that it is designed for use by resource providers, probably in the absence of a knowledge engineer. Its aim is to facilitate large scale knowledge population on the Grid. Function Annotator is built on the state-of-the-art of semantic web technologies, such as ontologies, OWL, instance store and DL-based reasoning, thus ensuring flexibility and scalability on the Grid. This paper describes the tool's role in a Grid-oriented resource lifecycle, its underlying technologies and implementation. It also illustrates the usage of the tool in the context of engineering design search and optimisation.",1
"The goal of giving a well-defined meaning to information is currently shared by endeavors such as the Semantic Web as well as by current trends within Knowledge Management. They all depend on the large-scale formalization of knowledge and on the availability of formal metadata about information resources. However, the question how to provide the necessary formal metadata in an effective and efficient way is still not solved to a satisfactory extent. Certainly, the most effective way to provide such metadata as well as formalized knowledge is to let humans encode them directly into the system, but this is neither efficient nor feasible. Furthermore, as current social studies show, individual knowledge is often less powerful than the collective knowledge of a certain community.As a potential way out of the  knowledge acquisition bottleneck , we present a novel methodology that acquires collective knowledge from the World Wide Web using the Google TM  API. In particular, we present PANKOW, a concrete instantiation of this methodology which is evaluated in two experiments: one with the aim of classifying novel instances with regard to an existing ontology and one with the aim of learning sub-/superconcept relations.",1
"Ontology plays an important role on the Semantic Web. In this paper, we propose a method, AOIWD, of acquiring ontology information from Web documents. The AOIWD method employs data mining techniques combined with inference engine techniques to develop ontology. One key feature of AOIWD is that it employs association rules and inference mechanism to create association instances of ontology classes. Another key feature of AOIWD is that it employs clustering to create ontology class hierarchy. The method can discover more meaningful relationships and has less human intervention.",1
"An increasing number of Web services are appearing, users as well as software agents and other web services need to be able to find, select, understand and invoke these services. Today, Web services (e.g. travel services, book selling services, stock reporting services etc) are discovered and invoked manually by human users, which hardcode the interaction between their own programs and the available Web services. Web services standards, such as UDDI, WSDL and SOAP, contribute to this vision by facilitating the interoperation between Web services and software agents or users. As a consequence of these standards is becoming by increasingly easier to connect Web services with their clients. The drawback of these standards is that there is no support for automatic interoperation, and therefore they implicitly assume that a programmer will hardcode the interaction between Web services and his own programs.",1
"As more information becomes available on the Web, there has been a crescent interest in effective personalization techniques. Personal agents providing assistance based on the content of Web documents and the user interests emerged as a viable alternative to this problem. Provided that these agents rely on having knowledge about users contained into user profiles, i.e., models of user preferences and interests gathered by observation of user behavior, the capacity of acquiring and modeling user interest categories has become a critical component in personal agent design. User profiles have to summarize categories corresponding to diverse user information interests at different levels of abstraction in order to allow agents to decide on the relevance of new pieces of information. In accomplishing this goal, document clustering offers the advantage that an a priori knowledge of categories is not needed, therefore the categorization is completely unsupervised. In this paper we present a document clustering algorithm, named WebDCC (Web Document Conceptual Clustering), that carries out incremental, unsupervised concept learning over Web documents in order to acquire user profiles. Unlike most user profiling approaches, this algorithm offers comprehensible clustering solutions that can be easily interpreted and explored by both users and other agents. By extracting semantics from Web pages, this algorithm also produces intermediate results that can be finally integrated in a machine-understandable format such as an ontology. Empirical results of using this algorithm in the context of an intelligent Web search agent proved it can reach high levels of accuracy in suggesting Web pages.",1
"In the area of technology enhanced learning reusability and interoperability issues essentially influence the productivity and efficiency of learning and authoring tools. This paper aims at addressing the issues of missing standards in the area of adaptivity and personalization, what causes interoperability problems that are usually solved by means of the Semantic Web. There are two basic approaches how to overcome the interoperability problems -- one attempts to do it via standards and the other by means of the Semantic Web. In practice these approaches meet and many existing solutions are based on ontologies that take into account the existing standards and try to integrate them. On the other hand, these ontologies can help us to achieve a certain kind of consensus and to contribute to the harmonization of the existing standards.",0
"This article studies the complexity of evaluating functional query languages for complex values such as monad algebra and the recursion-free fragment of XQuery. We show that monad algebra, with equality restricted to atomic values, is complete for the class TA[2  O ( n ) ,  O ( n )] of problems solvable in linear exponential time with a linear number of alternations if the query is assumed to be part of the input. The monotone fragment of monad algebra with atomic value equality but without negation is NEXPTIME-complete. For monad algebra with deep value equality, that is, equality of complex values, we establish TA[2  O ( n ) ,  O ( n )] lower and exponential-space upper bounds. We also study a fragment of XQuery, Core XQuery, that seems to incorporate all the features of a query language on complex values that are traditionally deemed essential. A close connection between monad algebra on lists and Core XQuery (with “child” as the only axis) is exhibited. The two languages are shown expressively equivalent up to representation issues. We show that Core XQuery is just as hard as monad algebra with respect to query and combined complexity. As Core XQuery is NEXPTIME-hard, the best-known techniques for processing such problems require exponential amounts of working memory and doubly exponential time in the worst case. We present a property of queries---the lack of a certain form of composition---that virtually all real-world XQueries have and that allows for query evaluation in PSPACE and thus singly exponential time. Still, we are able to show for an important special case---Core XQuery with equality testing restricted to atomic values---that the composition-free language is just as expressive as the language with composition. Thus, under widely-held complexity-theoretic assumptions, the language with composition is an exponentially more succinct version of the composition-free language.",0
"In this position paper an attempt is made to relate dependability-explicit computing to the semantic web. The machine understandable nature of the semantic web suggests a way to reconcile the increasingly autonomous nature of service-based systems with the need to verify that, once deployed, systems conform to a dependability specification.",1
"Web services are emerging technologies that can be considered as the result of the continuous improvement of Internet services due to the tremendous increase in demand that is being placed on them. In this paper, the different facets of Web services are identified and a flexible approach to engineering complex Web services is adopted in the form of a proposed framework for the development of Web services. After the examination of its main constituent parts, it is argued that its full potential and that of Web service engineering in general, is realized through the gradual formation of a rich service grid offering value-added supporting functionality and therefore the main desirable properties of such a service grid are highlighted. Finally, the paper outlines a validation approach for the proposed framework and assembles important pointers for future work and concluding remarks.",0
"As more and more new genome sequences were reported nowadays, analyzing the functions of a new genome sequence becomes more and more desirable and compelling. However, the determination of the functions of a genomic sequence is not an easy task. Even with several bioinformatic tools, the task is still a labor-intensive one. This is because human experts have to intervene during the processing of using these tools. For efficiency, immediacy and reduction of human labor, a system of automating the analyzing process is proposed. We take the automated determination of open reading frames of a genomic sequence as the domain tasks that involve using a number of computational tools and interpreting the results returned from the tools. A service-oriented approach is taken, in which analyzing tools are wrapped as Web services and described in semantic Web languages including OWL and OWL-S. The SARS coronavirus genomic sequence is taken as a test case for our approaches. We are in the process of building an agent-based system for automating the tasks, in which an intelligent agent is responsible for understanding purposes of the Web services by parsing the service descriptions, and carrying out the interpretation tasks according to a workflow.",1
"Research on ontologies is becoming widespread in the biomedical informatics community. At the same time, it has become apparent that the challenges of properly constructing and maintaining ontologies have proven more difficult than many workers in the field initially expected. Discovering general, feasible methods has thus become a central activity for many of those hoping to reap the benefits of ontologies. This paper reviews current methods in the construction, maintenance, alignment, and evaluation of ontologies.",1
"This paper presents an approach for the specification and implementation of e-contracts for Web monitoring. This is done in the setting of RuleML. We argue that monitoring contract execution requires also a logical account of deontic concepts and of violations. Accordingly, RuleML is extended to cover these aspects.",1
"Service discovery is a process of locating, or discovering, one or more documents, that describe a particular service. Most of the current service discovery approaches perform syntactic matching, that is, they retrieve services descriptions that contain particular keywords from the user’s query. This often leads to poor discovery results, because the keywords in the query can be semantically similar but syntactically different, or syntactically similar but semantically different from the terms in a service description. Another drawback of the existing service discovery mechanisms is that the query-service matching score is calculated taking into account only the keywords from the user’s query and the terms in the service descriptions. Thus, regardless of the context of the service user and the context of the services providers, the same list of results is returned in response to a particular query. This paper presents a novel approach for service discovery that uses ontologies to capture the semantics of the user’s query, of the services and of the contextual information that is considered relevant in the matching process.",1
"SLAng is an XML language for defining service level agreements, the part of a contract between the client and provider of an Internet service that describes the quality attributes that the service is required to possess. We define the semantics of SLAng precisely by modelling the syntax of the language in UML, then relating the language model to a model that describes the structure and behaviour of services. The presence of SLAng elements imposes behavioural constraints on service elements, and the precise definition of these constraints using OCL constitutes the semantic description of the language. We use the semantics to define a notion of SLA compatibility, and an extension to UML that enables the modelling of service situations as a precursor to analysis, implementation and provisioning activities.",0
"In this article, we investigate a first step towards the long-term vision of the Semantic Web by studying the problem of answering queries posed through a mediated ontology to multiple information sources whose content is described as  views  over the ontology relations. The contributions of this paper are twofold. We first offer a uniform logical setting which allows us to encompass and to relate the existing work on answering and rewriting queries using views. In particular, we make clearer the connection between the problem of rewriting queries using views and the problem of answering queries using extensions of views. Then we focus on an instance of the problem of rewriting  conjunctive queries  using views through an ontology expressed in a description logic, for which we exhibit a complete algorithm.",1
"This paper addresses the problem of retrieving documents that contain visual information. Current visual information retrieval systems sometimes retrieve irrelevant documents or documents unrelated to the user?s query. This problem is caused by the use of low-level image descriptors; furthermore, these descriptors hardly have a semantic weight. In this work we address the image retrieval problem based on shape, since shape has a meaning by itself. On the other hand, an extension of the ontology concept, which is used in information retrieval based on text, is proposed in the image domain. Likewise, we present the Image Retrieval by Ontological Description of Shapes (IRONS) System. IRONS has been implemented and evaluated in order to analyze its utility, efficiency, and advantages comparing with well-known systems.",1
